source_row,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
126,-1.940852862,-1.22600271,-3.485686789,2.258775111,-1.118704794,1.217669315,0.9261722314,-0.4238108182,-0.8131434017,-1.166102811
127,0.5544309074,-0.1747236551,-2.259381981,3.798199657,0.8983216315,-0.6713186147,-0.4786025133,0.6310211229,1.023116637,-0.6658285609
128,0.1122804012,-1.928934411,-4.209215584,2.225169309,0.3994734735,0.2425254097,-0.1004465812,2.665733922,0.990016028,-2.895313111
129,-2.077078092,-1.286830922,-2.383350411,3.155155263,-1.211070153,1.020687854,0.4468098011,-0.5608482026,-0.2145467168,-2.410259383
130,-0.9796337479,-0.04130049294,-0.8844756985,2.235819091,-0.1192821938,0.8599280295,1.66201022,-0.5869024352,-0.4661868827,-1.80143804
131,-1.469230749,-1.595340366,0.08462225838,1.520467334,0.12242731,2.334951597,1.624893545,-0.5687310676,-0.5170825123,-1.092192375
132,1.959088889,-5.98075491,5.917194145,-0.3835350428,-0.1104487322,0.399714741,1.826803286,0.8840946205,-1.704546411,-0.3149751243
133,0.3558003764,-6.537849042,4.878299151,0.2950669375,1.172817672,-0.5661029858,1.8926535,-0.2278915361,-0.5566953934,0.800179904
134,-0.156578338,2.173148187,2.47226664,-0.56655308,1.503278957,-1.455791752,1.574845182,-0.9776391117,0.2415431018,0.2339559792
135,1.956785659,-0.02162909286,1.679834016,0.04286307153,0.8196563066,0.8738318056,1.901823776,-1.99491488,0.1862640265,-0.7287253563
136,0.7159146362,-0.2106742462,5.369329536,-1.403831823,1.097475318,-1.768334398,0.7447258105,-1.142896026,-1.6214906,-0.09557690684
137,-2.110153325,4.376483357,1.390441818,-2.009647972,1.687575789,-0.4345920853,0.8662753277,-1.106289018,-0.2491665382,0.6502125243
138,-0.02670828029,-0.401193063,0.4979685672,2.962137162,-0.7282498741,2.719633405,-0.8387390621,-0.8521509599,-1.152781115,-0.2010523532
139,0.4387204146,0.6498135982,2.068987099,1.221836187,0.303728036,2.394657294,-0.7511859639,0.4624012698,-0.5874015341,0.0330411493
140,-1.306096686,3.242630604,0.6286084954,0.288619582,-0.4024062049,1.807641928,-1.190141088,-1.159311417,-0.9031057517,0.3892509666
141,-1.488936921,3.830773711,2.376212706,1.472962684,-0.6600590026,1.683691279,-1.671800479,-0.5235402086,0.3335505241,-0.9858556549
142,-1.568255503,4.904874172,0.2090202342,0.2417889144,0.7897753196,2.081656148,-0.6615238694,-0.3873141768,-0.854039232,-0.3650440403
143,-1.523473537,2.980500637,2.089487645,0.08566393797,0.4141273296,1.902579453,-1.874678657,-0.7798401534,-0.02548792144,0.7465784186
144,1.237764828,3.504210526,5.362237259,-0.2926186567,-0.7975268463,-1.079454202,-0.4232003265,3.655465512,-0.5818270705,-0.939239237
145,-2.02331237,1.616378996,5.645365114,-0.6490661723,-1.873151985,-2.611203704,-0.2150318001,3.436029173,-1.689561201,-0.6729933102
146,0.1960109117,-0.4796042905,6.923242018,0.5019428007,0.1529992713,-3.040569282,-0.3836818637,3.9200142,-0.0975516576,-1.04458995
147,-0.249441345,1.04169,5.661139895,0.3474104495,-2.035440691,-4.453247846,-0.03107587011,4.53227129,-1.655824933,-3.033784491
148,-0.7195081997,0.6187750637,5.746616482,0.7563460983,-2.167552059,0.2463086878,-0.5762669626,2.817578678,-2.303881759,-1.804228394
149,-1.874588387,2.034130614,5.172944683,0.279280509,-1.943597876,-1.641926389,-0.8971606545,2.509232606,-1.070888273,-1.699535315
150,-3.205433745,-8.034117683,3.847988493,2.659738764,1.295939194,-0.2351452846,-0.5559305542,-0.6368351706,0.5657056015,-1.65259158
151,-2.456444757,-7.974753682,4.094170936,1.423360936,1.279739665,1.719761234,0.1950579713,-1.851544744,0.05277742611,-2.361924325
