feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
knee_flexion_left_mean,-0.03866417251,-0.2538780459,0.03660889087,-0.05764025989,0.0475283863,0.03859859081,-0.1207815757,-0.02026685523,-0.07650302731,-0.01692358422
knee_flexion_left_median,-0.004816879775,-0.2561661155,0.03038625211,-0.02102715762,0.1135741741,0.1252750768,-0.0547903603,0.1287673108,-0.1001151254,0.163271258
knee_flexion_left_std,-0.2312274319,-0.01629730731,-0.07194745799,-0.0522436271,-0.01361234761,-0.05459027053,-0.1820424162,-0.004448497096,-0.1310510587,-0.03395131248
knee_flexion_left_variance,-0.2299559792,-0.01773653699,-0.0753626078,-0.0557215661,-0.0163256094,-0.06444189667,-0.1814204186,0.003355092354,-0.130500774,-0.0159341227
knee_flexion_left_maximum,-0.1928204794,-0.08445003263,-0.04475920248,-0.06557531788,-0.2065121086,-0.1484751426,-0.06816115523,-0.006675901656,0.08599824679,0.03719193845
knee_flexion_left_minimum,0.1600170193,-0.07146326432,0.01848596723,0.05351798857,0.001853594967,-0.0161785101,-0.3546744754,-0.2276901298,0.03397382095,-0.01627843693
knee_flexion_left_rom,-0.2179008127,-0.05293640829,-0.04497897877,-0.07383412934,-0.1824745968,-0.1259354048,0.04644443724,0.06248124796,0.06555614051,0.03765012603
knee_flexion_left_time_to_peak,0.01165078224,0.1550149134,-0.2184664362,-0.1913535585,0.2218824251,0.01469248253,-0.01017703379,0.0375181277,-0.02716502469,-0.03561435409
ankle_angle_right_mean,0.05450824658,-0.2004225736,-0.04981437343,-0.261389435,-0.005644600814,-0.02320679438,-0.01704635341,-0.006372314131,0.01131885002,0.06148422149
ankle_angle_right_median,0.01611954765,-0.2495244136,-0.0149568312,-0.08729900816,0.05868124197,0.09886703196,-0.01304954311,0.1315523653,-0.004840169225,0.1343241537
ankle_angle_right_std,-0.1416314609,-0.1252951692,-0.1617527887,0.2080830771,0.02993036404,0.05383756943,-0.06989309695,-0.01757848041,-0.05916684859,-0.2320029022
ankle_angle_right_variance,-0.1331891389,-0.1258147008,-0.1699178733,0.2120170345,0.01755735349,0.04292121606,-0.07170591796,0.01103419045,-0.04871756591,-0.2344160585
ankle_angle_right_maximum,-0.04383697203,-0.1171770295,-0.2293572059,-0.1325778051,-0.1401705416,-0.01589475129,0.06086737577,-0.1009720002,0.1447216392,-0.02822888977
ankle_angle_right_minimum,0.1437149374,-0.02006077859,0.01696053348,-0.2759631306,-0.2324955791,-0.09586161036,-0.1454312095,0.03901505242,-0.04040512625,-0.1406041372
ankle_angle_right_rom,-0.1608534224,-0.05313788762,-0.1564268162,0.1759840081,0.1308065765,0.07962174668,0.1728944926,-0.09827602134,0.1263941532,0.1137709032
